id,numRecord,codeType,coder,comment,occurred,typeRequestor,typeSolicitud,typeDerivacion,typeOffer,saludoProt,preguntaPolPub,quejaMuni,tags (skip),Sys.time()
5137,1,3,Richard,solicitud documentación,1,individuo,"información, infraestructura urbana/rural",,,0,0,0,,2022-08-16 18:54:39
14303,2,3,Richard,,1,organización,ayuda social/económica,,,0,0,0,,2022-08-16 18:55:42
14362,3,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 18:56:16
2385,4,3,Richard,,1,individuo,asistencia legal,,,0,0,0,,2022-08-16 18:57:15
12298,5,3,Richard,,1,individuo,vivienda,,,0,0,0,,2022-08-16 18:57:36
4732,6,3,Richard,,1,organización,permiso/autorización,,,0,0,0,,2022-08-16 18:58:34
10321,7,3,Richard,persona conocida del alcalde,1,individuo,"información, ayuda social/económica",,,0,0,0,,2022-08-16 18:59:39
139,8,3,Richard,,1,organización,infraestructura urbana/rural,,,1,0,0,,2022-08-16 19:00:24
3194,9,3,Richard,,1,empresa,permiso/autorización,,,0,0,0,,2022-08-16 19:01:43
12580,10,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 19:02:23
12735,11,3,Richard,,1,individuo,vivienda,,,0,0,0,,2022-08-16 19:02:35
11837,12,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 19:02:44
1129,13,3,Richard,,1,organización,"convenio, acta de compromiso",,,0,0,0,,2022-08-16 19:04:37
4935,14,3,Richard,,1,individuo,ayuda social/económica,DIRECCIÒN COMUNAL DE SALUD,,0,0,0,,2022-08-16 19:05:30
1544,15,3,Richard,candidato a diputado,1,individuo,información,,proyecto,0,0,0,,2022-08-16 19:07:07
2070,16,3,Richard,,1,empresa,,,"información, colaboracion",0,0,0,,2022-08-16 19:08:55
1883,17,3,Richard,,1,individuo,infraestructura urbana/rural,dirección de obra,,0,0,0,,2022-08-16 19:09:43
3881,18,3,Richard,,1,individuo,"ayuda social/económica, permiso/autorización",,,0,0,0,,2022-08-16 19:10:43
4200,19,3,Richard,,1,empresa,,Dirección Jurídica,,0,0,0,?,2022-08-16 19:11:59
5445,20,3,Richard,colegio,1,institución,asistencia legal,,,0,0,0,,2022-08-16 19:12:48
7362,21,3,Richard,,1,individuo,,,proyecto,0,0,0,,2022-08-16 19:13:12
1465,22,3,Richard,,1,empresa,,,bien/servicio,0,0,0,,2022-08-16 19:13:40
11181,23,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 19:13:56
1001,24,3,Richard,,1,individuo,"ayuda social/económica, vivienda",,,0,0,0,,2022-08-16 19:14:18
2003,25,3,Richard,,1,individuo,empleo,OFICINA MUNICIPAL DE INFORMACION LABORAL,,0,0,0,,2022-08-16 19:14:37
2526,26,3,Richard,,1,empresa,,,"información, bien/servicio",0,0,0,,2022-08-16 19:17:50
12344,27,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 19:18:04
14965,28,3,Richard,,1,individuo,fiscalización,,denunciacion,0,0,0,,2022-08-16 19:19:01
5604,29,3,Richard,,1,organización,transporte,,,0,0,0,,2022-08-16 19:19:22
4006,30,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 19:19:40
7475,31,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 19:19:50
573,32,3,Richard,,1,individuo,asistencia legal,,,0,0,0,,2022-08-16 19:20:53
6548,33,3,Richard,,0,individuo,,oficina organizaciones comunitarias,,0,0,0,,2022-08-16 19:21:19
480,34,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 19:22:25
2275,35,3,Richard,fundacion,1,organización,convenio,,información,1,0,0,,2022-08-16 19:25:02
6355,36,3,Richard,,1,empresa,,"Corporacion municipal, Directora de Educación","proyecto, información, bien/servicio",0,0,0,,2022-08-16 19:27:19
1656,37,3,Richard,,1,empresa,,,,1,0,0,,2022-08-16 19:27:54
12333,38,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 19:28:11
3350,39,3,Richard,,1,empresa,,,proyecto,0,0,0,,2022-08-16 19:28:49
1522,40,3,Richard,,1,empresa,no especificado,,,0,0,0,,2022-08-16 19:29:26
4798,41,3,Richard,,1,organización,"información, infraestructura urbana/rural",,,0,1,0,,2022-08-16 19:30:40
4579,42,3,Richard,,1,individuo,"infraestructura urbana/rural, intercesion, asistencia legal",,,0,0,1,,2022-08-16 19:33:47
8526,43,3,Richard,,1,organización,"permiso/autorización, no especificado",,,0,1,0,,2022-08-16 19:35:03
1150,44,3,Richard,,1,organización,información,,información,1,0,0,,2022-08-16 19:35:56
10464,45,3,Richard,,0,empresa,,,proyecto,0,0,0,,2022-08-16 19:36:44
8701,46,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 19:37:00
10874,47,3,Richard,,1,empresa,información,,"bien/servicio, proyecto",0,0,0,,2022-08-16 19:37:42
1967,48,3,Richard,,1,individuo,"vivienda, material de construccion",Departamento social,,0,0,0,,2022-08-16 19:39:01
14683,49,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 19:39:13
3630,50,3,Richard,,1,individuo,,COMUDEF,"proyecto, bien/servicio",0,0,0,,2022-08-16 19:40:31
4361,51,3,Richard,fundacion,1,organización,,,proyecto,0,0,0,,2022-08-16 21:18:05
9280,52,3,Richard,,1,individuo,asistencia educativa,,,0,0,0,,2022-08-16 21:19:28
4164,53,3,Richard,equipo de investigacion,1,institución,,Director de Seguridad,bien/servicio,0,0,0,,2022-08-16 21:23:58
2853,54,3,Richard,,1,empresa,,,proyecto,0,0,0,,2022-08-16 21:24:18
4212,55,3,Richard,,1,empresa,,Corporación de Desarrollo,bien/servicio,0,0,0,,2022-08-16 21:25:36
12327,56,3,Richard,,1,individuo,"infraestructura urbana/rural, no especificado",,,0,0,0,,2022-08-16 21:26:16
8696,57,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 21:26:33
6311,58,3,Richard,fundacion,1,organización,convenio,,"información, proyecto",0,0,0,,2022-08-16 21:27:30
474,59,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 21:27:56
9862,60,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 21:28:06
6689,61,3,Richard,junta de vecinos,1,organización,,,información,1,0,0,,2022-08-16 21:28:46
2436,62,3,Richard,,1,individuo,infraestructura urbana/rural,,proyecto,0,0,0,,2022-08-16 21:30:13
14787,63,3,Richard,,1,empresa,,,información,0,0,0,,2022-08-16 21:31:31
10972,64,3,Richard,Corporación de Familiares y amigos de Personas con Esquizofrenia CORFAPES,1,organización,,,información,0,0,0,,2022-08-16 21:33:17
5174,65,3,Richard,ASOCIACIÒN DE EQUIPO DIRECTIVOS,1,organización,,,información,1,0,0,,2022-08-16 21:34:04
1117,66,3,Richard,,1,empresa,,,proyecto,0,0,0,,2022-08-16 21:35:03
9026,67,3,Richard,,1,individuo,"material construccion, ayuda social/económica",,,0,0,0,,2022-08-16 21:35:34
4576,68,3,Richard,alcalde pertenece a la directiva del comité,1,organización,presencia autoridad política,,,0,0,0,,2022-08-16 21:36:52
8958,69,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 21:37:06
7934,70,3,Richard,,1,empresa,asistencia legal,,,0,0,0,?,2022-08-16 21:38:14
6783,71,3,Richard,,1,empresa,asistencia legal,,,0,0,1,,2022-08-16 21:39:14
9730,72,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 21:39:28
14987,73,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 21:39:39
10629,74,3,Richard,Centro de Desarrollo de Negocios y Vinculación,1,institución,difusion,,,0,0,0,,2022-08-16 21:42:02
7672,75,3,Richard,Denuncia de la Comunidad Edificio Prados Park Provi,1,organización,"infraestructura urbana/rural, fiscalizacion acceso infraestructura",,,0,1,0,,2022-08-16 21:45:36
5327,76,3,Richard,,1,organización,transporte,,,0,0,0,,2022-08-16 21:45:58
13640,77,3,Richard,,1,individuo,infraestructura urbana/rural,,,0,0,0,,2022-08-16 21:46:34
11709,78,3,Richard,,1,individuo,vivienda,,,0,0,0,,2022-08-16 21:46:45
6211,79,3,Richard,,1,individuo,"material construccion, ayuda social/económica",,,0,0,0,,2022-08-16 21:47:18
7759,80,3,Richard,,1,individuo,no especificado,,,0,0,0,,2022-08-16 21:49:05
4816,81,3,Richard,,1,empresa,asistencia legal,ADMINISTRADORA,,0,0,0,,2022-08-16 21:50:02
3644,82,3,Richard,Campaña nacional de Cuna Cultural,1,organización,,,información,0,0,0,,2022-08-16 22:00:40
2215,83,3,Richard,,1,individuo,,,información,0,0,0,,2022-08-16 22:02:09
14273,84,3,Richard,junta de vecinos,1,organización,ayuda social/económica,,,0,0,0,,2022-08-16 22:02:54
4605,85,3,Richard,fundacion,0,organización,,Jefa de Cultura,,0,0,0,,2022-08-16 22:03:34
11547,86,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:03:49
8147,87,3,Richard,,1,individuo,"asistencia legal, intercesion",,,0,0,0,,2022-08-16 22:04:47
2475,88,3,Richard,,1,organización,"infraestructura urbana/rural, respaldo autoridad",,"bien/servicio, información",0,0,0,,2022-08-16 22:08:35
2259,89,3,Richard,,1,individuo,infraestructura urbana/rural,DIRECTORA JURIDICA,,0,0,0,,2022-08-16 22:09:27
5663,90,3,Richard,,1,individuo,espacio/lugar,,,0,0,0,,2022-08-16 22:09:58
3531,91,3,Richard,,1,empresa,convenio,"Administrador Municipal, Jefa de Gabinete en la Municipalidad","proyecto, información",0,0,0,,2022-08-16 22:12:10
11884,92,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:12:29
